DEAL_ID;DATASET;TITLE;DIRECTION;LINE_TOTAL;DEAL_DURATION_DAYS;DESCRIPTION;COMMENTS;UNIQUE_PRODUCT_COUNT;DIRECTION_COUNT;DIRECTION_BREAKDOWN;COMPONENT_SUMMARY;MATERIALS;BUNDLE_KEY;SAMPLE_PRODUCTS
29524;offers;Пресс-волл 500х300 см;Цех;466035;13;Пресс-волл 500х300 см на хромированной трубе.;;5;2;"Цех: 72% (334410 руб); Сольвент: 28% (131625 руб)";"Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех x225 = 225000 руб; Баннер печать интерьерный 440гр более 50 кв.м x225 = 131625 руб; Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп x360 = 56160 руб; Крепеж для хром трубы более 100 шт x150 = 29250 руб; Баннер люверсовка более 50 шт Цех x1200 = 24000 руб";Баннер;11456|11480|11492|7988|8058;Баннер печать интерьерный 440гр более 50 кв.м | Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех | Крепеж для хром трубы более 100 шт | Баннер люверсовка более 50 шт Цех | Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп
29514;offers;Пресс-волл 500х300 см на рейке;Сольвент;379125;13;Пресс-волл 500х300 см на деревянной рейке.;;2;2;"Цех: 65% (247500 руб); Сольвент: 35% (131625 руб)";"Пресс-волл на рейке с учетом рейки более 50 кв.м Цех x225 = 247500 руб; Баннер печать интерьерный 440гр более 50 кв.м x225 = 131625 руб";Баннер;7988|8118;Баннер печать интерьерный 440гр более 50 кв.м | Пресс-волл на рейке с учетом рейки более 50 кв.м Цех
29522;offers;Пресс-волл 500х300 см;Цех;310690;13;Пресс-волл 500х300 см на хромированной трубе.;;5;2;"Цех: 72% (222940 руб); Сольвент: 28% (87750 руб)";"Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех x150 = 150000 руб; Баннер печать интерьерный 440гр более 50 кв.м x150 = 87750 руб; Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп x240 = 37440 руб; Крепеж для хром трубы более 100 шт x100 = 19500 руб; Баннер люверсовка более 50 шт Цех x800 = 16000 руб";Баннер;11456|11480|11492|7988|8058;Баннер печать интерьерный 440гр более 50 кв.м | Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех | Крепеж для хром трубы более 100 шт | Баннер люверсовка более 50 шт Цех | Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп
29496;offers;Пресс-волл 350х250 см;Цех;288041.25;13;Пресс-волл 350х250 см на хромированной трубе.;;5;2;"Цех: 73% (211260 руб); Сольвент: 27% (76781 руб)";"Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех x131.25 = 131250 руб; Баннер печать интерьерный 440гр более 50 кв.м x131.25 = 76781 руб; Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп x247.5 = 38610 руб; Крепеж для хром трубы более 100 шт x120 = 23400 руб; Баннер люверсовка более 50 шт Цех x900 = 18000 руб";Баннер;11456|11480|11492|7988|8058;Баннер печать интерьерный 440гр более 50 кв.м | Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех | Крепеж для хром трубы более 100 шт | Баннер люверсовка более 50 шт Цех | Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп
29512;offers;Пресс-волл 500х300 см на рейке;Сольвент;252750;13;Пресс-волл 500х300 см на деревянной рейке.;;2;2;"Цех: 65% (165000 руб); Сольвент: 35% (87750 руб)";"Пресс-волл на рейке с учетом рейки более 50 кв.м Цех x150 = 165000 руб; Баннер печать интерьерный 440гр более 50 кв.м x150 = 87750 руб";Баннер;7988|8118;Баннер печать интерьерный 440гр более 50 кв.м | Пресс-волл на рейке с учетом рейки более 50 кв.м Цех
29504;offers;Пресс-волл 350х250 см на рейке;Цех;221156.25;13;Пресс-волл 350х250 см на деревянной рейке.;;2;2;"Цех: 65% (144375 руб); Сольвент: 35% (76781 руб)";"Пресс-волл на рейке с учетом рейки более 50 кв.м Цех x131.25 = 144375 руб; Баннер печать интерьерный 440гр более 50 кв.м x131.25 = 76781 руб";Баннер;7988|8118;Пресс-волл на рейке с учетом рейки более 50 кв.м Цех | Баннер печать интерьерный 440гр более 50 кв.м
29464;offers;Пресс-волл 300х200 см;Цех;213810;12;Пресс-волл 300х200 см на хромированной трубе.;;5;2;"Цех: 75% (161160 руб); Сольвент: 25% (52650 руб)";"Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех x90 = 90000 руб; Баннер печать интерьерный 440гр более 50 кв.м x90 = 52650 руб; Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп x210 = 32760 руб; Крепеж для хром трубы более 100 шт x120 = 23400 руб; Баннер люверсовка более 50 шт Цех x750 = 15000 руб";Баннер;11456|11480|11492|7988|8058;Баннер печать интерьерный 440гр более 50 кв.м | Крепеж для хром трубы более 100 шт | Баннер люверсовка более 50 шт Цех | Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп | Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех
32756;offers;Оклейка транспорта самоклейка с ламинацией рельефная поверхность;Сольвент;209000;7;Брендирование транспорта материал винил с ламинацией. Оклейка рельефной поверхности.;;3;2;"Цех: 50% (105000 руб); Сольвент: 50% (104000 руб)";"Оклейка рельефной поверхности пленкой более 50 кв.м Цех x100 = 105000 руб; Винил/Баннер интерьерная печать более 50 кв.м x100 = 71500 руб; Ламинация с накаткой для стандартной печати холодная глянцевая более 50 кв.м x100 = 32500 руб";Пленка, Баннер, Винил;6298|6514|9144;Оклейка рельефной поверхности пленкой более 50 кв.м Цех | Ламинация с накаткой для стандартной печати холодная глянцевая более 50 кв.м | Винил/Баннер интерьерная печать более 50 кв.м
29494;offers;Пресс-волл 350х250 см;Цех;193227.5;13;Пресс-волл 350х250 см на хромированной трубе.;;5;2;"Цех: 74% (142040 руб); Сольвент: 26% (51188 руб)";"Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех x87.5 = 87500 руб; Баннер печать интерьерный 440гр более 50 кв.м x87.5 = 51188 руб; Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп x165 = 25740 руб; Крепеж для хром трубы 51-100 шт x80 = 16800 руб; Баннер люверсовка более 50 шт Цех x600 = 12000 руб";Баннер;11454|11480|11492|7988|8058;Баннер печать интерьерный 440гр более 50 кв.м | Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех | Крепеж для хром трубы 51-100 шт | Баннер люверсовка более 50 шт Цех | Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп
30308;offers;Штендер эмалированный оклеенный 122х66 см;Цех;190536;0;Штендер эмалированный с оцинкованными поверхностями 1220х660 мм и виниловой наклейкой.;;3;3;"POS: 71% (135000 руб); Цех: 16% (30000 руб); Сольвент: 13% (25536 руб)";"Штендер эмалированный с оцинковкой 1220х660 см более 30 шт x30 = 135000 руб; Сборка штендера и оклейка пленкой 1220х660 см более 30 шт Цех x30 = 30000 руб; Винил стандартная печать 20-50 кв.м x48 = 25536 руб";Пленка, Металл, Винил;11118|11128|6284;Сборка штендера и оклейка пленкой 1220х660 см более 30 шт Цех | Штендер эмалированный с оцинковкой 1220х660 см более 30 шт | Винил стандартная печать 20-50 кв.м
32768;offers;Оклейка транспорта самоклейка без ламинации рельефная поверхность;Цех;176500;7;Брендирование транспорта материал винил без ламинации. Оклейка рельефной поверхности.;;2;2;"Цех: 59% (105000 руб); Сольвент: 41% (71500 руб)";"Оклейка рельефной поверхности пленкой более 50 кв.м Цех x100 = 105000 руб; Винил/Баннер интерьерная печать более 50 кв.м x100 = 71500 руб";Пленка, Баннер, Винил;6298|6514;Оклейка рельефной поверхности пленкой более 50 кв.м Цех | Винил/Баннер интерьерная печать более 50 кв.м
32732;offers;Оклейка транспорта самоклейка с ламинацией ровная поверхность;Сольвент;174000;7;Брендирование транспорта материал винил с ламинацией. Оклейка ровной поверхности.;;3;2;"Сольвент: 60% (104000 руб); Цех: 40% (70000 руб)";"Винил/Баннер интерьерная печать более 50 кв.м x100 = 71500 руб; Оклейка ровной поверхности пленкой более 50 кв.м Цех x100 = 70000 руб; Ламинация с накаткой для стандартной печати холодная глянцевая более 50 кв.м x100 = 32500 руб";Пленка, Баннер, Винил;6298|6334|9144;Оклейка ровной поверхности пленкой более 50 кв.м Цех | Ламинация с накаткой для стандартной печати холодная глянцевая более 50 кв.м | Винил/Баннер интерьерная печать более 50 кв.м
55380;offers;Буклет А4 2 Бига эконом 270 гр/м2;Печатная;168200;0;Буклеты А4 (297х210 мм) в развернутом виде, 2 сгиба. Лазерная полноцветная двусторонняя печать. Бумага полуглянцевая HI-Kote плотностью 270 гр/м2. Используйте буклеты для привлечения новых клиентов, продвижения продуктов или услуг, проведения рекламных кампаний и обеспечения информирования целевой аудитории. Лазерная печать позволит быстро и эффективно создать большие объемы буклетов обеспечивая высокое качество изображений и текста. Срок производства 1-2 рабочих дня.;;3;1;Печатная: 100% (168200 руб);"А4 Печать 4+4 от 1200 шт Печатная x5000 = 132600 руб; Хайкот А4 бум. 270 гр. 1 шт Печатная x5000 = 25600 руб; Биговка от 1200 шт Печатная x10000 = 10000 руб";;12826|4534|9104;Биговка от 1200 шт Печатная | А4 Печать 4+4 от 1200 шт Печатная | Хайкот А4 бум. 270 гр. 1 шт Печатная
29520;offers;Пресс-волл 500х300 см;Цех;156845;13;Пресс-волл 500х300 см на хромированной трубе.;;5;2;"Цех: 72% (112970 руб); Сольвент: 28% (43875 руб)";"Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех x75 = 75000 руб; Баннер печать интерьерный 440гр более 50 кв.м x75 = 43875 руб; Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп x120 = 18720 руб; Крепеж для хром трубы 31-50 шт x50 = 11250 руб; Баннер люверсовка более 50 шт Цех x400 = 8000 руб";Баннер;11452|11480|11492|7988|8058;Баннер печать интерьерный 440гр более 50 кв.м | Пресс-волл на хром трубе без учета хром трубы более 50 кв.м Цех | Крепеж для хром трубы 31-50 шт | Баннер люверсовка более 50 шт Цех | Хром труба 0,9 мм кратно 3м, крепеж отдельно более 100 мп
34692;offers;Ролл-ап стенд 150х200 см;Цех;154875;7;Roll up стенд 150х200 см.;;3;3;"POS: 75% (115500 руб); Сольвент: 20% (30375 руб); Цех: 6% (9000 руб)";"Ролл-ап стенд 150х200 см 11-30 шт x15 = 115500 руб; Баннер печать интерьерный 440гр 20-50 кв.м x45 = 30375 руб; Установка носителя на ролл-ап стенд 11-30 шт Цех x15 = 9000 руб";Баннер;11318|7986|9486;Установка носителя на ролл-ап стенд 11-30 шт Цех | Баннер печать интерьерный 440гр 20-50 кв.м | Ролл-ап стенд 150х200 см 11-30 шт
